name,city,country
UIAA Worldcup - Fiera di Primiero (ITA) 2004,Fiera di Primiero,ITA
UIAA Worldcup - Chamonix (FRA) 2004,Chamonix,FRA
UIAA Worldcup - Val Daone (ITA) 2004,Val Daone,ITA
UIAA Worldcup - L'Argentière La Bessée (FRA) 2004,L'Argentière La Bessée,FRA
UIAA Worldcup - Bardonecchia (ITA) 2004,Bardonecchia,ITA
UIAA Worldcup - Marbella (ESP) 2004,Marbella,ESP
UIAA Worldcup - Huzou (CHN) 2004,Huzou,CHN
UIAA Worldcup - Shanghai (CHN) 2004,Shanghai,CHN
UIAA Worldcup - Aprica (ITA) 2004,Aprica,ITA
UIAA Worldcup - Valence (FRA) 2004,Valence,FRA
UIAA Worldcup - Brno (CZE) 2004,Brno,CZE
UIAA Worldcup - Kranj (SLO) 2004,Kranj,SLO
Int. Event - Birmingham (GBR) 2003,Birmingham,GBR
Int. Event - Open Youth Marseille (FRA) 2003,Youth Marseille,FRA
Rock Junior - Arco (ITA) 2003,Arco,ITA
Spiderkids - Youth Color Climbing Festival - Imst (AUT) 2003,Imst,AUT
"Spiderkids - 6. Int Trophy ""Citta'di Ravenna"" (ITA) 2003","""Ravenna",ITA
Int. Event - Speed Rock Daone (ITA) 2003 - not confirmed,Daone,ITA
"Int. Event - Master/Event of Daroca, Zaragosa (ESP) 2003",Zaragosa,ESP
Int. Event - Serre Chevalier (FRA) 2003,Serre Chevalier,FRA
Int. Event - Boulder Masters Grenoble (FRA) 2003,Grenoble,FRA
Int. Event - La Colmiane (FRA) 2003,La Colmiane,FRA
Int. Event - Arco Rockmaster (ITA) 2003,Arco Rockmaster,ITA
Spiderkids - Open Youth Climbing Championship of the Czech Republic - Brno (CZE) 2003,Brno,CZE
UIAA World Youth Championship - Edinburgh (GBR) 2004,Edinburgh,GBR
UIAA Nordic Championship Bouldering (NOR) 2004,,NOR
Polish Youth Championship - Gdansk 2004,Gdansk,
European Youth Cup - Geneva (SUI) 2004,Geneva,SUI
European Youth Cup - Imst (AUT) 2004,Imst,AUT
European Youth Cup + Festival - Veliko Tarnovo (BUL) 2004,Veliko Tarnovo,BUL
European Youth Cup - Kranj (SLO) 2004,Kranj,SLO
Int. Event - Open Youth Marseille (FRA) 2004,Youth Marseille,FRA
Int. Event Melloblocco - Val di Mello (ITA) 2004,Val di Mello,ITA
EYCD - European Youth Climbing Days Arco (ITA) 2004,Days Arco,ITA
Spiderkids - Youth Color Climbing Festival Imst (AUT) 2004,Imst,AUT
Int. Youth Event - Citta di Ravenna (ITA) 2004,Ravenna,ITA
Int. Youth Event - Petzen Trophy Kärnten (AUT) 2004,Kärnten,AUT
Int. Event - OutDoor Climbing Events 2004 - Friedrichshafen (GER) 2004,Friedrichshafen,GER
Spiderkids - Kids Climbing Competition of Aggtelek (HUN) 2004,Competition of Aggtelek,HUN
Int. Event - Grenoble (FRA) 2004,Grenoble,FRA
Int. Event - Rockmaster Arco (ITA) 2004,Arco,ITA
Spiderkids - Int. Youth Climbing Competitions Darvas Cup (HUN) 2004,Int. Youth Climbing Competitions Darvas Cup,HUN
Int. Event - Asia Cup Uttarkashi (IND) 2004,Uttarkashi,IND
UIAA Worldcup (B) - Birmingham (GBR) 2005,Birmingham,GBR
UIAA Worldcup (B+S) - Moscow (RUS) 2005,Moscow,RUS
UIAA Worldcup (S) - Moscow (RUS) 2005,Moscow,RUS
UIAA Worldcup (L+S) - Veliko Tarnovo (BUL) 2005,Veliko Tarnovo,BUL
UIAA Worldcup (L) - Puurs (BEL) 2005,Puurs,BEL
UIAA Worldcup (L) - Imst (AUT) 2005,Imst,AUT
UIAA Worldcup (B) - Fiera di Primiero (ITA) 2005,Fiera di Primiero,ITA
UIAA Worldcup (L) - Zürich (SUI) 2005,Zürich,SUI
UIAA World Championship - Munich (GER) 2005,Munich,GER
UIAA Worldcup (L+S) - Chamonix (FRA) 2005,Chamonix,FRA
UIAA Worldcup (S) - Daone (ITA) 2005,Daone,ITA
UIAA Worldcup (L) - Marbella (ESP) 2005,Marbella,ESP
UIAA Worldcup (B) - Firminy (FRA) 2005,Firminy,FRA
UIAA Worldcup (L+S) - Shanghai (CHN) 2005,Shanghai,CHN
UIAA Worldcup (L) - Valence (FRA) 2005,Valence,FRA
UIAA Worldcup (L) - Kranj (SLO) 2005,Kranj,SLO
UIAA Central-South American Youth - S. Antonio de los Altos (VEN) 2004,S. Antonio de los Altos,VEN
UIAA Central-South American Championship - S. Antonio de los Altos (VEN) 2004,S. Antonio de los Altos,VEN
North American Championship - Mexico City (MEX) 2004 (incl. SpiderKids),Mexico City,MEX
North American Championship - Mexico City (MEX) 2004 (Youth Bouldering),Mexico City,MEX
UIAA World Youth Championship - Bejing (CHN) 2005,Bejing,CHN
UIAA Asian Championship - Iran 2005,Iran,
Asian Youth Championships,,
European Youth Cup - Brno (CZE) 2005,Brno,CZE
European Youth Cup - Imst (AUT) 2005,Imst,AUT
European Youth Cup - Geneva (SUI) 2005,Geneva,SUI
European Youth Cup - Penne (ITA) 2005,Penne,ITA
European Youth Cup - Kranj (SLO) 2005,Kranj,SLO
International World Games (L+S) - Duisburg (GER) 2005,Duisburg,GER
Int. Event - Open Youth Marseille (FRA) 2005,Youth Marseille,FRA
Int. Event (B) Mello Blocco - Val Masino (ITA) 2005,Val Masino,ITA
Spiderkids - Youth Color Climbing Festival Imst (AUT) 2005,Imst,AUT
